Lake Rep  Gear Species   TL  Hours
   Griffin   1    trapnet   blcr    81      96
   Griffin   1    trapnet   blcr    116   96
   Griffin   1    trapnet   blcr    78   96
   Griffin   1    trapnet   blcr    119   96
   Griffin   1    trapnet   blcr    124     96
   Griffin   1    trapnet   blcr    111   96
   Griffin   1    trapnet   blcr    117   96
   Griffin   1    trapnet   blcr    80   96
   Griffin   1    trapnet   blcr    112   96
   Griffin   1    trapnet   blcr    80   96
   Griffin   1    trapnet   blcr    72   96
   Griffin   1    trapnet   blcr    117   96
   Griffin   1    trapnet   blcr    90   96
   Griffin   1    trapnet   blcr    82   96
   Griffin   1    trapnet   blcr    73   96
   Griffin   1    trapnet   blcr    117   96
   Griffin   1    trapnet   blcr    112   96
   Griffin   1    trapnet   blcr    83   96
   Griffin   1    trapnet   blcr    117   96
   Griffin   1    trapnet   blcr    116   96
   Griffin   1    trapnet   blcr    149    96
   Griffin   1    trapnet   blcr    103   96
   Griffin   1    trapnet   blcr    136     96
   Griffin   1    trapnet   blcr    183     96
   Griffin   1    trapnet   blcr    145     96
   Griffin   1    trapnet   blcr    114   96
   Griffin   1    trapnet   blcr    130     96
   Griffin   1    trapnet   blcr    140     96
   Griffin   1    trapnet   blcr    140     96
   Griffin   1    trapnet   blcr    165     96
   Griffin   1    trapnet   blcr    157     96
   Griffin   1    trapnet   blcr    147     96
   Griffin   1    trapnet   blcr    141   96
   Griffin   1    trapnet   blcr    165     96
   Griffin   1    trapnet   blcr    162     96
   Griffin   1    trapnet   blcr    180     96
   Griffin   1    trapnet   blcr    212     96
   Griffin   1    trapnet   blcr    218     96
   Griffin   1    trapnet   blcr    267     96
   Griffin   2    trapnet   blcr    157     96
   Griffin   2    trapnet   blcr    92     96
   Griffin   2    trapnet   blcr    77     96
   Griffin   2    trapnet   blcr    79     96
   Griffin   2    trapnet   blcr    103    96
   Griffin   2    trapnet   blcr    89     96
   Griffin   2    trapnet   blcr    95     96
   Griffin   2    trapnet   blcr    93     96
   Griffin   2    trapnet   blcr    118    96
   Griffin   2    trapnet   blcr    82     96
   Griffin   2    trapnet   blcr    99     96
   Griffin   2    trapnet   blcr    100    96
   Griffin   2    trapnet   blcr    86     96
   Griffin   2    trapnet   blcr    77     96
   Griffin   2    trapnet   blcr    109    96
   Griffin   2    trapnet   blcr    72     96
   Griffin   2    trapnet   blcr    77     96
   Griffin   2    trapnet   blcr    104    96
   Griffin   2    trapnet   blcr    105    96
   Griffin   2    trapnet   blcr    87     96
   Griffin   2    trapnet   blcr    74     96
   Griffin   2    trapnet   blcr    86     96
   Griffin   2    trapnet   blcr    91     96
   Griffin   2    trapnet   blcr    104    96
   Griffin   2    trapnet   blcr    81     96
   Griffin   2    trapnet   blcr    70     96
   Griffin   2    trapnet   blcr    97     96
   Griffin   2    trapnet   blcr    82     96
   Griffin   2    trapnet   blcr    104    96
   Griffin   2    trapnet   blcr    99     96
   Griffin   2    trapnet   blcr    119    96
   Griffin   2    trapnet   blcr    116    96
   Griffin   2    trapnet   blcr    100    96
   Griffin   2    trapnet   blcr    111    96
   Griffin   2    trapnet   blcr    80      96
   Griffin   2    trapnet   blcr    80      96
   Griffin   2    trapnet   blcr    103     96
   Griffin   2    trapnet   blcr    113     96
   Griffin   2    trapnet   blcr    112     96
   Griffin   2    trapnet   blcr    113     96
   Griffin   2    trapnet   blcr    119     96
   Griffin   2    trapnet   blcr    147     96
   Griffin   2    trapnet   blcr    135      96
   Griffin   2    trapnet   blcr    166      96
   Griffin   2    trapnet   blcr    169      96
   Griffin   2    trapnet   blcr    155      96
   Griffin   2    trapnet   blcr    204      96
   Griffin   2    trapnet   blcr    204      96
   Griffin   2    trapnet   blcr    231      96
   Griffin   2    trapnet   blcr    193      96
   Griffin   2    trapnet   blcr    126      96
   Griffin   2    trapnet   blcr    104     96
   Griffin   2    trapnet   blcr    101     96
   Griffin   2    trapnet   blcr    86      96
   Griffin   2    trapnet   blcr    89      96
   Griffin   2    trapnet   blcr    97      96
   Griffin   3    trapnet   blcr    117     96
   Griffin   4    trapnet   blcr    117     96
   Griffin   4    trapnet   blcr    85      96
   Griffin   4    trapnet   blcr    95      96
   Griffin   5    trapnet   blcr    104     96
   Griffin   5    trapnet   blcr    106     96
   Griffin   5    trapnet   blcr    101     96
   Griffin   5    trapnet   blcr    98      96
   Griffin   5    trapnet   blcr    118     96
   Griffin   5    trapnet   blcr    73      96
   Griffin   5    trapnet   blcr    82      96
   Griffin   5    trapnet   blcr    134     96
   Griffin   5    trapnet   blcr    230     96
   Griffin   5    trapnet   blcr    251     96
   Griffin   6    trapnet   blcr    92  96
   Griffin   6    trapnet   blcr    77  96
   Griffin   6    trapnet   blcr    75  96
   Griffin   7    trapnet   blcr    105   96
   Griffin   7    trapnet   blcr    75   96
   Griffin   7    trapnet   blcr    108   96
   Griffin   8    trapnet   blcr    231     96
   Griffin   8    trapnet   blcr    212     96
   Griffin   8    trapnet   blcr    224     96
   Griffin   8    trapnet   blcr    202     96
   Griffin   8    trapnet   blcr    213     96
   Griffin   8    trapnet   blcr    167   96
   Griffin   8    trapnet   blcr    144   96
   Griffin   8    trapnet   blcr    160   96
   Griffin   8    trapnet   blcr    172     96
   Griffin   8    trapnet   blcr    192     96
   Griffin   8    trapnet   blcr    214     96
   Griffin   8    trapnet   blcr    224     96
   Griffin   8    trapnet   blcr    231     96
   Griffin   8    trapnet   blcr    231     96
   Griffin   8    trapnet   blcr    231   96
   Griffin   8    trapnet   blcr    280     96
   Griffin   8    trapnet   blcr    170     96
   Griffin   8    trapnet   blcr    163   96
   Griffin   8    trapnet   blcr    112   96
   Griffin   8    trapnet   blcr    92  .96
   Griffin   8    trapnet   blcr    95  .96
   Griffin   8    trapnet   blcr    124     96
   Griffin   8    trapnet   blcr    115   96
   Griffin   8    trapnet   blcr    121     96
   Griffin   8    trapnet   blcr    105      96
   Griffin   8    trapnet   blcr    116      96
   Griffin   8    trapnet   blcr    102      96
   Griffin   8    trapnet   blcr    105      96
   Griffin   8    trapnet   blcr    128      96
   Griffin   201  trapnet   blc    .       96
   Griffin   202  trapnet   blc    .       96
   Griffin   1    trapnet   blcr    112      96
   Griffin   1    trapnet   blcr    87      96
   Griffin   1    trapnet   blcr    84      96
   Griffin   1    trapnet   blcr    87      96
   Griffin   1    trapnet   blcr    104      96
   Griffin   1    trapnet   blcr    97      96
   Griffin   1    trapnet   blcr    92      96
   Griffin   1    trapnet   blcr    102      96
   Griffin   1    trapnet   blcr    101      96
   Griffin   1    trapnet   blcr    95      96
   Griffin   1    trapnet   blcr    104      96
   Griffin   1    trapnet   blcr    97      96
   Griffin   1    trapnet   blcr    96      96
   Griffin   1    trapnet   blcr    97      96
   Griffin   1    trapnet   blcr    96      96
   Griffin   1    trapnet   blcr    99      96
   Griffin   1    trapnet   blcr    88      96
   Griffin   1    trapnet   blcr    80     96
   Griffin   1    trapnet   blcr    101    96
   Griffin   1    trapnet   blcr    115    96
   Griffin   1    trapnet   blcr    99     96
   Griffin   1    trapnet   blcr    84     96
   Griffin   1    trapnet   blcr    78     96
   Griffin   1    trapnet   blcr    102    96
   Griffin   1    trapnet   blcr    80     96
   Griffin   1    trapnet   blcr    79     96
   Griffin   1    trapnet   blcr    92     96
   Griffin   1    trapnet   blcr    83     96
   Griffin   1    trapnet   blcr    93     96
   Griffin   1    trapnet   blcr    118    96
   Griffin   1    trapnet   blcr    117    96
   Griffin   1    trapnet   blcr    81     96
   Griffin   1    trapnet   blcr    92     96
   Griffin   1    trapnet   blcr    101    96
   Griffin   1    trapnet   blcr    86     96
   Griffin   1    trapnet   blcr    105    96
   Griffin   1    trapnet   blcr    117    96
   Griffin   1    trapnet   blcr    102    96
