GRIFFIN   GEAR SAMPLE    TL
GRIFFIN   TRAWL     2.5  158
GRIFFIN   TRAWL     2.5  123
GRIFFIN   TRAWL     2.5  196
GRIFFIN   TRAWL     2.5  225
GRIFFIN   TRAWL     2.5  167
GRIFFIN   TRAWL     2.5  174
GRIFFIN   TRAWL     2.5  185
GRIFFIN   TRAWL     2.5  162
GRIFFIN   TRAWL     2.5  165
GRIFFIN   TRAWL     2.5  188
GRIFFIN   TRAWL     2.5  155
GRIFFIN   TRAWL     2.6  222
GRIFFIN   TRAWL     2.6  202
GRIFFIN   TRAWL     2.6  171
GRIFFIN   TRAWL     2.7  212
GRIFFIN   TRAWL     2.7  110
GRIFFIN   TRAWL     2.7  106
GRIFFIN   TRAWL     3.1  156
GRIFFIN   TRAWL     3.1  184
GRIFFIN   TRAWL     3.1  152
GRIFFIN   TRAWL     3.1  146
GRIFFIN   TRAWL     3.1  142
GRIFFIN   TRAWL     3.1  157
GRIFFIN   TRAWL     3.1  99
GRIFFIN   TRAWL     3.1  114
GRIFFIN   TRAWL     3.1  172
GRIFFIN   TRAWL     3.1  101
GRIFFIN   TRAWL     3.1  207
GRIFFIN   TRAWL     3.1  188
GRIFFIN   TRAWL     3.1  153
GRIFFIN   TRAWL     3.1  196
GRIFFIN   TRAWL     3.1  162
GRIFFIN   TRAWL     3.1  188
GRIFFIN   TRAWL     3.1  158
GRIFFIN   TRAWL     3.1  155
GRIFFIN   TRAWL     3.1  112
GRIFFIN   TRAWL     3.1  98
GRIFFIN   TRAWL     3.1  97
GRIFFIN   TRAWL     3.1  106
GRIFFIN   TRAWL     3.2  78
GRIFFIN   TRAWL     3.2  145
GRIFFIN   TRAWL     3.2  175
GRIFFIN   TRAWL     3.3  172
GRIFFIN   TRAWL     3.3  95
GRIFFIN   TRAWL     3.4  175
GRIFFIN   TRAWL     3.4  148
GRIFFIN   TRAWL     3.4  144
GRIFFIN   TRAWL     3.4  155
GRIFFIN   TRAWL     3.4  208
GRIFFIN   TRAWL     3.4  162
GRIFFIN   TRAWL     3.5  173
GRIFFIN   TRAWL     3.5  182
GRIFFIN   TRAWL     3.5  162
GRIFFIN   TRAWL     3.5  202
GRIFFIN   TRAWL     3.5  191
GRIFFIN   TRAWL     3.5  107
GRIFFIN   TRAWL     3.5  108
GRIFFIN   TRAWL     3.5  177
GRIFFIN   TRAWL     3.5  180
GRIFFIN   TRAWL     3.5  194
GRIFFIN   TRAWL     3.5  173
GRIFFIN   TRAWL     3.6  232
GRIFFIN   TRAWL     3.6  188
GRIFFIN   TRAWL     3.6  200
GRIFFIN   TRAWL     3.6  222
GRIFFIN   TRAWL     3.6  161
GRIFFIN   TRAWL     3.6  224
GRIFFIN   TRAWL     3.6  184
GRIFFIN   TRAWL     3.6  210
GRIFFIN   TRAWL     3.6  165
GRIFFIN   TRAWL     3.6  235
GRIFFIN   TRAWL     3.6  210
GRIFFIN   TRAWL     3.6  101
GRIFFIN   TRAWL     3.6  93
GRIFFIN   TRAWL     3.6  198
GRIFFIN   TRAWL     3.6  186
GRIFFIN   TRAWL     3.6  97
GRIFFIN   TRAWL     3.6  296
GRIFFIN   TRAWL     4.1  205
GRIFFIN   TRAWL     4.1  182
GRIFFIN   TRAWL     4.1  173
GRIFFIN   TRAWL     4.1  205
GRIFFIN   TRAWL     4.1  171
GRIFFIN   TRAWL     4.1  172
GRIFFIN   TRAWL     4.1  113
GRIFFIN   TRAWL     4.1  173
GRIFFIN   TRAWL     4.1  190
GRIFFIN   TRAWL     4.1  178
GRIFFIN   TRAWL     4.1  195
GRIFFIN   TRAWL     4.1  175
GRIFFIN   TRAWL     4.1  174
GRIFFIN   TRAWL     4.1  213
GRIFFIN   TRAWL     4.1  211
GRIFFIN   TRAWL     4.1  178
GRIFFIN   TRAWL     4.1  185
GRIFFIN   TRAWL     4.1  232
GRIFFIN   TRAWL     4.2  238
GRIFFIN   TRAWL     4.2  248
GRIFFIN   TRAWL     4.2  157
GRIFFIN   TRAWL     4.2  154
GRIFFIN   TRAWL     4.2  244
GRIFFIN   TRAWL     4.2  206
GRIFFIN   TRAWL     4.2  242
GRIFFIN   TRAWL     4.2  180
GRIFFIN   TRAWL     4.2  182
GRIFFIN   TRAWL     4.2  238
GRIFFIN   TRAWL     4.2  228
GRIFFIN   TRAWL     4.2  241
GRIFFIN   TRAWL     4.2  153
GRIFFIN   TRAWL     4.2  146
GRIFFIN   TRAWL     4.2  103
GRIFFIN   TRAWL     4.2  127
GRIFFIN   TRAWL     4.3  220
GRIFFIN   TRAWL     4.3  176
GRIFFIN   TRAWL     4.3  165
GRIFFIN   TRAWL     4.3  195
GRIFFIN   TRAWL     4.3  69
GRIFFIN   TRAWL     4.3  187
GRIFFIN   TRAWL     4.3  168
GRIFFIN   TRAWL     4.3  164
GRIFFIN   TRAWL     4.3  181
GRIFFIN   TRAWL     4.3  145
GRIFFIN   TRAWL     4.3  107
GRIFFIN   TRAWL     4.4  182
GRIFFIN   TRAWL     4.4  197
GRIFFIN   TRAWL     4.4  161
GRIFFIN   TRAWL     4.4  104
GRIFFIN   TRAWL     4.4  199
GRIFFIN   TRAWL     4.4  232
GRIFFIN   TRAWL     4.4  167
GRIFFIN   TRAWL     4.4  177
GRIFFIN   TRAWL     4.4  162
GRIFFIN   TRAWL     4.4  167
GRIFFIN   TRAWL     4.4  152
GRIFFIN   TRAWL     4.4  145
GRIFFIN   TRAWL     4.4  93
GRIFFIN   TRAWL     4.5  173
GRIFFIN   TRAWL     4.5  167
GRIFFIN   TRAWL     4.5  158
GRIFFIN   TRAWL     4.5  148
GRIFFIN   TRAWL     4.5  146
GRIFFIN   TRAWL     4.5  102
GRIFFIN   TRAWL     4.5  87
GRIFFIN   TRAWL     4.5  175
GRIFFIN   TRAWL     4.6  197
GRIFFIN   TRAWL     4.6  190
GRIFFIN   TRAWL     4.6  176
GRIFFIN   TRAWL     4.6  136
GRIFFIN   TRAWL     4.6  163
GRIFFIN   TRAWL     4.6  174
GRIFFIN   TRAWL     4.6  187
GRIFFIN   TRAWL     4.6  164
GRIFFIN   TRAWL     4.6  152
GRIFFIN   TRAWL     4.6  145
GRIFFIN   TRAWL     4.6  108
GRIFFIN   TRAWL     4.6  92
GRIFFIN   TRAWL     4.6  72
GRIFFIN   TRAWL     4.6  237
GRIFFIN   TRAWL     5.1  183
GRIFFIN   TRAWL     5.1  153
GRIFFIN   TRAWL     5.1  192
GRIFFIN   TRAWL     5.1  180
GRIFFIN   TRAWL     5.1  144
GRIFFIN   TRAWL     5.1  154
GRIFFIN   TRAWL     5.1  113
GRIFFIN   TRAWL     5.1  72
GRIFFIN   TRAWL     5.1  103
GRIFFIN   TRAWL     5.1  194
GRIFFIN   TRAWL     5.1  243
GRIFFIN   TRAWL     5.1  88
GRIFFIN   TRAWL     5.1  80
GRIFFIN   TRAWL     5.1  93
GRIFFIN   TRAWL     5.1  147
GRIFFIN   TRAWL     5.1  92
GRIFFIN   TRAWL     5.1  96
GRIFFIN   TRAWL     5.1  118
GRIFFIN   TRAWL     5.1  99
GRIFFIN   TRAWL     5.1  160
GRIFFIN   TRAWL     5.1  99
GRIFFIN   TRAWL     5.1  103
GRIFFIN   TRAWL     5.1  238
GRIFFIN   TRAWL     5.2  188
GRIFFIN   TRAWL     5.2  136
GRIFFIN   TRAWL     5.2  165
GRIFFIN   TRAWL     5.2  194
GRIFFIN   TRAWL     5.2  205
GRIFFIN   TRAWL     5.2  167
GRIFFIN   TRAWL     5.2  97
GRIFFIN   TRAWL     5.2  203
GRIFFIN   TRAWL     5.2  171
GRIFFIN   TRAWL     5.2  97
GRIFFIN   TRAWL     5.2  220
GRIFFIN   TRAWL     5.2  92
GRIFFIN   TRAWL     5.2  246
GRIFFIN   TRAWL     5.2  247
GRIFFIN   TRAWL     5.3  211
GRIFFIN   TRAWL     5.3  166
GRIFFIN   TRAWL     5.3  163
GRIFFIN   TRAWL     5.3  168
GRIFFIN   TRAWL     5.3  172
GRIFFIN   TRAWL     5.3  167
GRIFFIN   TRAWL     5.3  151
GRIFFIN   TRAWL     5.3  150
GRIFFIN   TRAWL     5.4  200
GRIFFIN   TRAWL     5.4  206
GRIFFIN   TRAWL     5.4  184
GRIFFIN   TRAWL     5.4  155
GRIFFIN   TRAWL     5.4  153
GRIFFIN   TRAWL     5.4  157
GRIFFIN   TRAWL     5.4  142
GRIFFIN   TRAWL     5.4  105
GRIFFIN   TRAWL     5.5  196
GRIFFIN   TRAWL     5.5  194
GRIFFIN   TRAWL     5.5  182
GRIFFIN   TRAWL     5.5  184
GRIFFIN   TRAWL     5.5  166
GRIFFIN   TRAWL     5.5  162
GRIFFIN   TRAWL     5.5  144
GRIFFIN   TRAWL     5.5  180
GRIFFIN   TRAWL     6.1  218
GRIFFIN   TRAWL     6.1  205
GRIFFIN   TRAWL     6.1  194
GRIFFIN   TRAWL     6.1  106
GRIFFIN   TRAWL     6.1  94
GRIFFIN   TRAWL     6.2  292
GRIFFIN   TRAWL     6.2  194
GRIFFIN   TRAWL     6.2  193
GRIFFIN   TRAWL     6.2  184
GRIFFIN   TRAWL     6.2  163
GRIFFIN   TRAWL     6.2  152
GRIFFIN   TRAWL     6.2  137
GRIFFIN   TRAWL     6.2  139
GRIFFIN   TRAWL     6.2  97
GRIFFIN   TRAWL     6.3  262
GRIFFIN   TRAWL     6.3  221
GRIFFIN   TRAWL     6.3  178
GRIFFIN   TRAWL     6.3  172
GRIFFIN   TRAWL     6.3  168
GRIFFIN   TRAWL     6.3  158
GRIFFIN   TRAWL     6.3  158
GRIFFIN   TRAWL     6.3  112
GRIFFIN   TRAWL     6.4  196
GRIFFIN   TRAWL     6.4  196
GRIFFIN   TRAWL     6.4  180
GRIFFIN   TRAWL     7.1  132
GRIFFIN   TRAWL     7.1  185
GRIFFIN   TRAWL     7.1  230
GRIFFIN   TRAWL     7.1  205
GRIFFIN   TRAWL     7.1  223
GRIFFIN   TRAWL     7.1  155
GRIFFIN   TRAWL     7.1  200
GRIFFIN   TRAWL     7.1  174
GRIFFIN   TRAWL     7.1  71
GRIFFIN   TRAWL     7.2  105
GRIFFIN   TRAWL     7.2  177
GRIFFIN   TRAWL     7.2  212
GRIFFIN   TRAWL     7.2  154
GRIFFIN   TRAWL     7.2  107
GRIFFIN   TRAWL     7.2  203
GRIFFIN   TRAWL     7.2  274
GRIFFIN   TRAWL     7.2  305
GRIFFIN   TRAWL     7.3  250
GRIFFIN   TRAWL     7.3  250
GRIFFIN   TRAWL     7.3  247
GRIFFIN   TRAWL     7.3  262
GRIFFIN   TRAWL     7.3  263
GRIFFIN   TRAWL     7.3  235
GRIFFIN   TRAWL     7.3  174
GRIFFIN   TRAWL     7.3  144
GRIFFIN   TRAWL     7.3  89
GRIFFIN   TRAWL     7.3  125
GRIFFIN   TRAWL     7.4  274
GRIFFIN   TRAWL     7.4  249
GRIFFIN   TRAWL     7.4  250
GRIFFIN   TRAWL     7.4  231
GRIFFIN   TRAWL     7.4  228
GRIFFIN   TRAWL     7.4  217
GRIFFIN   TRAWL     7.4  205
GRIFFIN   TRAWL     7.4  140
GRIFFIN   TRAWL     7.4  122
GRIFFIN   TRAWL     7.4  111
GRIFFIN   TRAWL     7.4  104
GRIFFIN   TRAWL     7.4  82
GRIFFIN   TRAWL     7.5  212
GRIFFIN   TRAWL     7.5  171
GRIFFIN   TRAWL     7.5  189
GRIFFIN   TRAWL     7.5  225
GRIFFIN   TRAWL     7.5  107
GRIFFIN   TRAWL     7.5  160
GRIFFIN   TRAWL     7.5  171
GRIFFIN   TRAWL     7.5  142
GRIFFIN   TRAWL     7.5  142
GRIFFIN   TRAWL     7.5  171
GRIFFIN   TRAWL     7.5  153
GRIFFIN   TRAWL     7.5  221
GRIFFIN   TRAWL     7.5  196
GRIFFIN   TRAWL     7.5  125
GRIFFIN   TRAWL     7.5  159
GRIFFIN   TRAWL     7.5  75
GRIFFIN   TRAWL     7.5  177
GRIFFIN   TRAWL     7.5  213
GRIFFIN   TRAWL     7.5  264
GRIFFIN   TRAWL     7.6  237
GRIFFIN   TRAWL     7.6  262
GRIFFIN   TRAWL     7.6  212
GRIFFIN   TRAWL     7.6  233
GRIFFIN   TRAWL     7.6  218
GRIFFIN   TRAWL     7.6  262
GRIFFIN   TRAWL     7.6  214
GRIFFIN   TRAWL     7.6  199
GRIFFIN   TRAWL     7.6  182
GRIFFIN   TRAWL     7.6  197
GRIFFIN   TRAWL     7.6  189
GRIFFIN   TRAWL     7.6  155
GRIFFIN   TRAWL     7.6  182
GRIFFIN   TRAWL     7.6  167
GRIFFIN   TRAWL     7.6  197
GRIFFIN   TRAWL     7.6  146
GRIFFIN   TRAWL     7.6  118
GRIFFIN   TRAWL     7.6  170
GRIFFIN   TRAWL     7.6  167
GRIFFIN   TRAWL     7.6  106
GRIFFIN   TRAWL     7.6  103
